type,category,tw_word,cn_word
同實異名,日常器用,刀具,刀具/刃具
同實異名,日常器用,大頭照,大頭照/標準照/標準像
同實異名,日常器用,子母畫面電視,雙畫面電視 
同實異名,日常器用,不沾鍋,不沾鍋/不粘鍋
同實異名,日常器用,不倒翁,不倒翁/扳不倒兒
同實異名,日常器用,公事包,公文包
同實異名,日常器用,分度規/分度器/半圓規/量角器,分度規/分度器/半圓規/量角器/半圓儀
同實異名,日常器用,分離式,分體式
同實異名,日常器用,手扶梯/電扶梯/自動扶梯/電動扶梯,手扶梯/電扶梯/自動扶梯/電動扶梯/滾梯/步行電梯
同實異名,日常器用,文件夾/檔案夾/資料夾,文件夾/檔案夾
同實異名,日常器用,日光燈/螢光燈,日光燈/熒光燈
同實異名,日常器用,日程表/行事曆,日程表
同實異名,日常器用,水銀燈,水銀燈/汞燈
同實異名,日常器用,去光水,洗甲水
同實異名,日常器用,打卡機/打卡鐘,打卡機 
同實異名,日常器用,瓦斯桶/瓦斯鋼瓶,煤氣罐/液化氣罐
同實異名,日常器用,冰箱/電冰箱,冰箱/電冰箱/雪櫃
同實異名,日常器用,安定器,鎮流器
同實異名,日常器用,行動電源,充電寶/隨身充/移動電源
同實異名,日常器用,免治馬桶,智能座便器
同實異名,日常器用,免洗杯,一次性杯子
同實異名,日常器用,吹風機,吹風機/電吹風/風筒
同實異名,日常器用,尿片/尿布,尿片/尿布/褯子
同實異名,日常器用,折疊桌,摺疊桌/折檯
同實異名,日常器用,延長線,排插/插排/線板/接線板
同實異名,日常器用,拖把,拖把/墩布
同實異名,日常器用,易開罐,易拉罐 
同實異名,日常器用,油壓剪,液壓剪
同實異名,日常器用,臥具/寢具,臥具/寢具/牀品
同實異名,日常器用,花園鞋/洞洞鞋/布希鞋,花園鞋/洞洞鞋
同實異名,日常器用,雨刷,雨刷/雨刮子/雨刮器
同實異名,日常器用,雨棚,雨棚/雨搭
同實異名,日常器用,雨靴,雨靴/水靴
同實異名,日常器用,保溫杯,保溫杯/保暖杯
同實異名,日常器用,保麗龍,保麗龍/泡沫塑料
同實異名,日常器用,削鉛筆機,削鉛筆機/卷筆刀/轉筆刀
同實異名,日常器用,屏幕/螢幕/螢光幕,屏幕 /熒屏 /視屏 /熒光屏
同實異名,日常器用,柔軟精,柔軟劑 /柔順劑 
同實異名,日常器用,洗面乳,洗面乳/洗面奶
同實異名,日常器用,相冊/相簿,相冊/相簿/影集
同實異名,日常器用,修正液/塗改液/立可白,修正液 /塗改液 
同實異名,日常器用,原子筆,圓珠筆
同實異名,日常器用,梳妝臺,梳妝檯/梳理臺
同實異名,日常器用,海碗/碗公,海碗
